21,FAIL,VISIT_OCCURRENCE,VISIT_END_DATETIME,"If yes, the number and percent of records with a date value in the VISIT_END_DATETIME field of the VISIT_OCCURRENCE table that occurs after death",2.05,24549,1%,NO,,
22,FAIL,VISIT_OCCURRENCE,VISIT_START_DATE,"If yes, the number and percent of records with a date value in the VISIT_START_DATE field of the VISIT_OCCURRENCE table that occurs after death",2.15,25756,1%,NO,,
23,FAIL,VISIT_OCCURRENCE,VISIT_START_DATETIME,"If yes, the number and percent of records with a date value in the VISIT_START_DATETIME field of the VISIT_OCCURRENCE table that occurs after death",2.15,25756,1%,NO,,
24,FAIL,NOTE,NOTE_DATE,"The number and percent of records with a value in the NOTE_DATE field of the NOTE that occurs prior to the date in the BIRTH_DATETIME field of the PERSON table",99.91,186745658,1%,NO,,
25,FAIL,NOTE,NOTE_DATETIME,"The number and percent of records with a value in the NOTE_DATETIME field of the NOTE that occurs prior to the date in the BIRTH_DATETIME field of the PERSON table",99.91,186745658,1%,NO,,
26,FAIL,NOTE,NOTE_DATE,"The number and percent of records with a value in the NOTE_DATE field of the NOTE table less than 19500101",99.91,186745724,1%,NO,,
27,FAIL,NOTE,NOTE_DATETIME,"The number and percent of records with a value in the NOTE_DATETIME field of the NOTE table less than 19500101",99.91,186745724,1%,NO,,
28,FAIL,CONDITION_OCCURRENCE,CONDITION_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field CONDITION_SOURCE_CONCEPT_ID in the CONDITION_OCCURRENCE table",100.00,36846304,10%,NO,,
29,FAIL,CONDITION_OCCURRENCE,CONDITION_SOURCE_VALUE,"The number and percent of distinct source values in the CONDITION_SOURCE_VALUE field of the CONDITION_OCCURRENCE table mapped to 0",100.00,148667,10%,NO,,
30,FAIL,VISIT_OCCURRENCE,VISIT_SOURCE_VALUE,"The number and percent of distinct source values in the VISIT_SOURCE_VALUE field of the VISIT_OCCURRENCE table mapped to 0",100.00,1,10%,NO,,
31,FAIL,PERSON,GENDER_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field GENDER_CONCEPT_ID in the PERSON table",100.00,10330950,5%,YES,"Changed gender_source_value from SEX (all NULL) to SEX_C. Added gender concept mappings to domain_source_to_concept: '1'->8507 (Male), '2'->8532 (Female), '3'->0 (Unknown). File: epic_clarity_person.ipynb","SELECT gender_concept_id, COUNT(*) FROM _exponent.omop_epic.person GROUP BY 1","PASSED - 8507: ~5.5M, 8532: ~4.8M, 0: ~9.7K"
32,FAIL,VISIT_DETAIL,ADMITTED_FROM_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field ADMITTED_FROM_CONCEPT_ID in the VISIT_DETAIL table",100.00,2432865,5%,NO,,
33,FAIL,VISIT_DETAIL,DISCHARGED_TO_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field DISCHARGED_TO_CONCEPT_ID in the VISIT_DETAIL table",100.00,2432865,5%,NO,,
34,FAIL,VISIT_DETAIL,VISIT_DETAIL_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field VISIT_DETAIL_CONCEPT_ID in the VISIT_DETAIL table",100.00,2432865,0%,NO,,
35,FAIL,VISIT_DETAIL,VISIT_DETAIL_TYPE_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field VISIT_DETAIL_TYPE_CONCEPT_ID in the VISIT_DETAIL table",100.00,2432865,0%,NO,,
36,FAIL,VISIT_OCCURRENCE,ADMITTED_FROM_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field ADMITTED_FROM_CONCEPT_ID in the VISIT_OCCURRENCE table",100.00,94737974,5%,NO,,
37,FAIL,VISIT_OCCURRENCE,DISCHARGED_TO_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field DISCHARGED_TO_CONCEPT_ID in the VISIT_OCCURRENCE table",100.00,94737974,5%,NO,,
38,FAIL,VISIT_OCCURRENCE,VISIT_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field VISIT_CONCEPT_ID in the VISIT_OCCURRENCE table",100.00,94737974,0%,NO,,
39,FAIL,VISIT_DETAIL,VISIT_DETAIL_END_DATE,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",8.30,201916,1%,NO,,
40,FAIL,VISIT_DETAIL,VISIT_DETAIL_START_DATE,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",8.30,201916,1%,NO,,
